#{"t_start": 1700423854.4740162, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
150.0,2317,0.904639
200.0,2981,1.549259
45.0,2011,1.958044
135.0,2153,2.394689
385.0,3437,3.082957
35.0,1767,3.442883
210.0,2511,3.953567
270.0,2886,4.530349
210.0,2425,5.037732
135.0,1853,5.40892
105.0,1767,5.757915
80.0,1763,6.105479
440.0,3925,6.863974
80.0,1907,7.239658
180.0,2017,7.634859
90.0,1839,7.996901
40.0,1485,8.291175
110.0,1861,8.678918
395.0,2595,9.21208
80.0,2039,9.630488
70.0,1535,9.944195
90.0,1351,10.230684
490.0,3281,10.888722
105.0,1433,11.173186
160.0,1905,11.550116
30.0,1223,11.793128
90.0,1909,12.170711
230.0,2811,12.718515
140.0,2495,13.215573
170.0,2269,13.679935
155.0,2321,14.152939
110.0,2069,14.581185
160.0,2219,15.028425
440.0,2945,15.615769
215.0,2037,16.0298
30.0,1487,16.330402
135.0,2357,16.794047
130.0,2347,17.253064
140.0,2237,17.692567
80.0,1171,17.927342
180.0,2413,18.405764
155.0,1937,18.788929
120.0,1859,19.155993
110.0,2019,19.554622
125.0,1811,19.94565
105.0,1885,20.343605
90.0,1841,20.723042
165.0,2051,24.125048
280.0,3895,24.904558
80.0,1785,25.268209
260.0,2369,25.743412
50.0,1221,25.991026
355.0,2379,26.470706
125.0,2151,26.90995
60.0,1947,27.306125
465.0,3095,27.925635
170.0,1943,28.320373
105.0,1951,28.716352
160.0,2289,29.178987
375.0,3217,29.816314
105.0,1763,30.175781
50.0,1151,30.409509
490.0,3615,31.129949
15.0,1597,31.454059
180.0,2249,31.908564
460.0,3565,32.626271
105.0,1917,33.017179
150.0,2207,33.46651
175.0,2817,34.026367
85.0,1367,34.296374
450.0,3327,34.94335
135.0,1981,35.332148
50.0,1929,35.720095
55.0,1161,35.951758
35.0,1573,36.268352
100.0,1173,36.508282
105.0,1973,36.895662
135.0,1997,37.289189
295.0,3057,37.887348
100.0,1531,38.197444
150.0,2165,38.632034
35.0,1123,38.863364
80.0,1769,39.216623
125.0,1961,39.599108
10.0,1275,39.849662
55.0,1891,40.220875
200.0,2343,40.679993
90.0,1299,40.933563
35.0,1569,41.243374
165.0,2233,41.68111
120.0,1603,41.996117
475.0,3457,42.66652
250.0,4405,43.517784
90.0,1909,43.892658
30.0,1223,44.133315
210.0,2709,47.730516
90.0,1943,48.111946
115.0,1817,48.469018
30.0,1473,48.760572
55.0,1697,49.094766
75.0,1327,49.35693
315.0,3629,50.058459
120.0,1921,50.435333
260.0,2723,50.967508
115.0,2333,51.424483
95.0,2423,51.899474
160.0,3459,52.5705
35.0,1233,52.811632
110.0,1515,53.110235
100.0,1523,53.409183
80.0,1713,53.746314
75.0,1647,54.075315
240.0,2503,54.564247
100.0,1245,54.812898
60.0,1179,55.050012
185.0,2417,55.523985
165.0,2435,56.00204
155.0,1833,56.360264
210.0,2487,56.84415
310.0,2897,57.423882
125.0,2199,57.868115
35.0,1131,58.096878
110.0,1827,58.458772
180.0,2437,58.954267
165.0,2463,59.434978
125.0,1865,59.800833
90.0,1445,60.085093
125.0,1515,60.382929
240.0,2797,60.925258
75.0,1533,61.225843
270.0,2895,61.786613
80.0,1331,62.048915
180.0,1925,62.437006
160.0,1959,62.820373
545.0,5379,63.822465
210.0,2709,64.349623
95.0,1703,64.685958
50.0,1661,65.015933
60.0,1795,65.380011
105.0,1875,65.746501
165.0,2027,66.143371
170.0,2785,66.687565
65.0,1339,66.950694
345.0,3695,71.209951
135.0,1611,71.530571
50.0,1575,71.841539
80.0,1957,72.253702
110.0,1169,72.495578
235.0,2883,73.079729
105.0,1579,73.399555
120.0,1859,73.778871
155.0,2417,74.255242
120.0,1893,74.635419
180.0,1611,74.953251
110.0,1841,75.31776
110.0,2091,75.728336
190.0,1811,76.082351
135.0,1905,76.466575
140.0,2483,76.975216
140.0,1973,77.381369
150.0,1913,77.767802
135.0,1739,78.127219
120.0,1461,78.421927
135.0,1903,78.824439
65.0,1711,79.199775
55.0,1385,79.49768
50.0,1619,79.843288
125.0,1997,80.253943
65.0,1739,80.607937
60.0,1147,80.840712
105.0,1291,81.103801
155.0,2721,81.652057
50.0,1057,81.872582
155.0,1365,82.162745
180.0,2403,82.665006
120.0,2021,83.084431
330.0,3491,83.799842
90.0,1705,84.148756
30.0,1135,84.378842
395.0,3389,85.051
130.0,1825,85.420022
90.0,1909,85.804835
120.0,1883,86.186088
210.0,2327,86.65571
45.0,1913,87.042506
120.0,1985,87.44143
105.0,1783,87.80364
150.0,2253,88.272559
155.0,2171,88.704778
100.0,1645,89.029718
105.0,1805,89.384724
30.0,1505,89.694945
30.0,1421,89.985103
90.0,1923,90.365326
180.0,2367,90.827305
180.0,2613,91.338307
100.0,1557,91.645349
155.0,1983,97.51841
175.0,2129,98.612559
205.0,2845,100.082522
50.0,1929,101.053664
330.0,3825,103.033243
85.0,2227,104.198653
265.0,3607,106.063988
385.0,3159,107.678439
170.0,3783,109.60701
270.0,3679,111.49897
200.0,3665,113.380306
125.0,1855,114.354952
5.0,2875,115.875575
395.0,3965,117.953093
240.0,2449,119.200461
145.0,2507,120.465553
220.0,3553,122.285955
80.0,1921,123.275017
145.0,2511,124.55845
140.0,2031,125.584316
140.0,2999,127.108605
